storyid	questionid	answer_sentenceid	answer
a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_Q2	-	yes
a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_Q3	-	his college graduation ceremony
8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q0	-	Santa Claus
8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q1	-	a letter
8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q2	-	no
8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q3	-	a letter
b94e1810-9869-4af6-bb74-b4a51c46f3d2	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q0	-	Jake needed a ride to the store.
b94e1810-9869-4af6-bb74-b4a51c46f3d2	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q1	-	His girlfriend
b94e1810-9869-4af6-bb74-b4a51c46f3d2	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q2	-	His brother
b94e1810-9869-4af6-bb74-b4a51c46f3d2	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q3	-	a ride to the store
ae7e744e-fd27-46c2-befb-7e8427cb679c	ae7e744e-fd27-46c2-befb-7e8427cb679c_Q0	-	thunder
ae7e744e-fd27-46c2-befb-7e8427cb679c	ae7e744e-fd27-46c2-befb-7e8427cb679c_Q1	-	of
f3643541-c339-4377-851d-144ea400d551	f3643541-c339-4377-851d-144ea400d551_Q0	-	a daughter
f3643541-c339-4377-851d-144ea400d551	f3643541-c339-4377-851d-144ea400d551_Q1	-	Eric
f3643541-c339-4377-851d-144ea400d551	f3643541-c339-4377-851d-144ea400d551_Q2	-	5 years
f3643541-c339-4377-851d-144ea400d551	f3643541-c339-4377-851d-144ea400d551_Q3	-	Eric and Meg
2ef3788f-6b2b-45c8-b6ba-71450d565e6a	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q0	-	in
2ef3788f-6b2b-45c8-b6ba-71450d565e6a	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q1	-	in
2ef3788f-6b2b-45c8-b6ba-71450d565e6a	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q2	-	Last year I took a day trip to see a friend in Maine.
2ef3788f-6b2b-45c8-b6ba-71450d565e6a	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q3	-	My friend
9a66b66d-034d-495e-a60e-e22c25e0e0fa	9a66b66d-034d-495e-a60e-e22c25e0e0fa_Q0	-	tacos
9a66b66d-034d-495e-a60e-e22c25e0e0fa	9a66b66d-034d-495e-a60e-e22c25e0e0fa_Q1	-	a
aab4ee80-fc00-4d9c-a127-a63b54dfd193	aab4ee80-fc00-4d9c-a127-a63b54dfd193_Q0	-	her bird feeders
a107d361-e8a4-4cb6-8ffb-623a4c49ee1e	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q0	-	five
a107d361-e8a4-4cb6-8ffb-623a4c49ee1e	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q1	-	five
a107d361-e8a4-4cb6-8ffb-623a4c49ee1e	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q2	-	all her maternity and baby clothes
a107d361-e8a4-4cb6-8ffb-623a4c49ee1e	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q3	-	yes
04c164f6-da41-48a3-8aa3-eb7b650bb5f0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q0	-	at an accounting
04c164f6-da41-48a3-8aa3-eb7b650bb5f0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q1	-	yes
04c164f6-da41-48a3-8aa3-eb7b650bb5f0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q2	-	every day
04c164f6-da41-48a3-8aa3-eb7b650bb5f0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q3	-	an office party
8ca3cedb-510e-4454-ba08-93eaa605563b	8ca3cedb-510e-4454-ba08-93eaa605563b_Q0	-	six years old
8ca3cedb-510e-4454-ba08-93eaa605563b	8ca3cedb-510e-4454-ba08-93eaa605563b_Q1	-	Her mom
8ca3cedb-510e-4454-ba08-93eaa605563b	8ca3cedb-510e-4454-ba08-93eaa605563b_Q2	-	yes
8ca3cedb-510e-4454-ba08-93eaa605563b	8ca3cedb-510e-4454-ba08-93eaa605563b_Q3	-	to the
271616db-90c2-4303-9c2b-64f4061ceb56	271616db-90c2-4303-9c2b-64f4061ceb56_Q0	-	a wallet
271616db-90c2-4303-9c2b-64f4061ceb56	271616db-90c2-4303-9c2b-64f4061ceb56_Q1	-	on the
271616db-90c2-4303-9c2b-64f4061ceb56	271616db-90c2-4303-9c2b-64f4061ceb56_Q2	-	one afternoon
271616db-90c2-4303-9c2b-64f4061ceb56	271616db-90c2-4303-9c2b-64f4061ceb56_Q3	-	The old man
b93f956f-2256-4c6d-91d2-7675dff455f0	b93f956f-2256-4c6d-91d2-7675dff455f0_Q0	-	Chad 's dog
b93f956f-2256-4c6d-91d2-7675dff455f0	b93f956f-2256-4c6d-91d2-7675dff455f0_Q1	-	Chad's dog
b93f956f-2256-4c6d-91d2-7675dff455f0	b93f956f-2256-4c6d-91d2-7675dff455f0_Q2	-	a dog trainer
b93f956f-2256-4c6d-91d2-7675dff455f0	b93f956f-2256-4c6d-91d2-7675dff455f0_Q3	-	Chad was proud to finally show off his dog to others.
d869c6d9-4a06-4d94-bf97-dc37167a5520	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q0	-	One day
d869c6d9-4a06-4d94-bf97-dc37167a5520	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q1	-	an adult baseball team
d869c6d9-4a06-4d94-bf97-dc37167a5520	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q2	-	a good baseball player in his youth
d869c6d9-4a06-4d94-bf97-dc37167a5520	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q3	-	One day, he slid into second base to beat a throw and hurt his knee.
f7559f25-0358-4f57-b079-dec2199b4ec3	f7559f25-0358-4f57-b079-dec2199b4ec3_Q0	-	a house
f7559f25-0358-4f57-b079-dec2199b4ec3	f7559f25-0358-4f57-b079-dec2199b4ec3_Q1	-	a house
f7559f25-0358-4f57-b079-dec2199b4ec3	f7559f25-0358-4f57-b079-dec2199b4ec3_Q2	-	He knew it had to be Nick so he decided he would move out.
f7559f25-0358-4f57-b079-dec2199b4ec3	f7559f25-0358-4f57-b079-dec2199b4ec3_Q3	-	He knew it had to be Nick so he decided he would move out.
1e379d2b-69e8-485e-92ac-4c3daa41e364	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q0	-	a goldfish
1e379d2b-69e8-485e-92ac-4c3daa41e364	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q1	-	from the pet
1e379d2b-69e8-485e-92ac-4c3daa41e364	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q2	-	She noticed that the goldfish looked quite fat.
1e379d2b-69e8-485e-92ac-4c3daa41e364	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q3	-	a goldfish
0dd3e2c3-3ea4-450a-97c4-42a54c426018	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q0	-	a new job
0dd3e2c3-3ea4-450a-97c4-42a54c426018	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q1	-	a new job
0dd3e2c3-3ea4-450a-97c4-42a54c426018	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q2	-	an hour
0dd3e2c3-3ea4-450a-97c4-42a54c426018	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q3	-	She was nervous about her first day of work.
865db3c4-a253-4d35-8766-25fc7e0a8cfb	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q0	-	on a trip to the
865db3c4-a253-4d35-8766-25fc7e0a8cfb	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q1	-	the US
865db3c4-a253-4d35-8766-25fc7e0a8cfb	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q2	-	on a trip to the
865db3c4-a253-4d35-8766-25fc7e0a8cfb	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q3	-	Jill was going on a trip to the amazon.
88fba119-ccac-4b82-881f-e609e188bebc	88fba119-ccac-4b82-881f-e609e188bebc_Q0	-	a defense attorney
88fba119-ccac-4b82-881f-e609e188bebc	88fba119-ccac-4b82-881f-e609e188bebc_Q1	-	no
88fba119-ccac-4b82-881f-e609e188bebc	88fba119-ccac-4b82-881f-e609e188bebc_Q2	-	yes
88fba119-ccac-4b82-881f-e609e188bebc	88fba119-ccac-4b82-881f-e609e188bebc_Q3	-	a client that he must defend in court
1cc75245-93bd-44cc-b076-8d1b249e1ee5	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q0	-	some Pizza
1cc75245-93bd-44cc-b076-8d1b249e1ee5	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q1	-	Julie order the food through an online website.
1cc75245-93bd-44cc-b076-8d1b249e1ee5	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q2	-	The pizza
1cc75245-93bd-44cc-b076-8d1b249e1ee5	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q3	-	She thought she would order some Pizza.
bfa4ef8c-715d-4287-88a5-035611e34e40	bfa4ef8c-715d-4287-88a5-035611e34e40_Q0	-	dogs
bfa4ef8c-715d-4287-88a5-035611e34e40	bfa4ef8c-715d-4287-88a5-035611e34e40_Q1	-	His girlfriend
bfa4ef8c-715d-4287-88a5-035611e34e40	bfa4ef8c-715d-4287-88a5-035611e34e40_Q2	-	Justin went to therapy to help him get over his fear.
bfa4ef8c-715d-4287-88a5-035611e34e40	bfa4ef8c-715d-4287-88a5-035611e34e40_Q3	-	a few months
210d56ce-a940-4766-9b7b-d086b2c5682d	210d56ce-a940-4766-9b7b-d086b2c5682d_Q0	-	the street
210d56ce-a940-4766-9b7b-d086b2c5682d	210d56ce-a940-4766-9b7b-d086b2c5682d_Q1	-	yes
210d56ce-a940-4766-9b7b-d086b2c5682d	210d56ce-a940-4766-9b7b-d086b2c5682d_Q2	-	He stood up and saw that his knee was bleeding.
210d56ce-a940-4766-9b7b-d086b2c5682d	210d56ce-a940-4766-9b7b-d086b2c5682d_Q3	-	some peroxide
50357157-3765-40b5-8e32-f86961c98be0	50357157-3765-40b5-8e32-f86961c98be0_Q0	-	to a
50357157-3765-40b5-8e32-f86961c98be0	50357157-3765-40b5-8e32-f86961c98be0_Q1	-	to
50357157-3765-40b5-8e32-f86961c98be0	50357157-3765-40b5-8e32-f86961c98be0_Q2	-	Her cousin agreed to drive if Nicole bought the tickets.
50357157-3765-40b5-8e32-f86961c98be0	50357157-3765-40b5-8e32-f86961c98be0_Q3	-	a concert
006536d7-2be3-49a4-a750-769684e952ed	006536d7-2be3-49a4-a750-769684e952ed_Q0	-	three in the morning
006536d7-2be3-49a4-a750-769684e952ed	006536d7-2be3-49a4-a750-769684e952ed_Q1	-	the morning
006536d7-2be3-49a4-a750-769684e952ed	006536d7-2be3-49a4-a750-769684e952ed_Q2	-	from inside my
006536d7-2be3-49a4-a750-769684e952ed	006536d7-2be3-49a4-a750-769684e952ed_Q3	-	I
a111d580-1fb2-4ab1-848a-0856982dfcd5	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q0	-	a bottle of beer
a111d580-1fb2-4ab1-848a-0856982dfcd5	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q1	-	a popping noise
a111d580-1fb2-4ab1-848a-0856982dfcd5	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q2	-	a bottle of beer
a111d580-1fb2-4ab1-848a-0856982dfcd5	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q3	-	a warm beer
790d9cb4-4832-49e8-8137-331e79a4b9e6	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q0	-	Tyler 's favorite holiday
790d9cb4-4832-49e8-8137-331e79a4b9e6	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q1	-	so many presents
790d9cb4-4832-49e8-8137-331e79a4b9e6	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q2	-	so many presents
790d9cb4-4832-49e8-8137-331e79a4b9e6	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q3	-	Christmas
e663b977-2af7-4b1d-bd33-352d932f851b	e663b977-2af7-4b1d-bd33-352d932f851b_Q0	-	at her local fast food
e663b977-2af7-4b1d-bd33-352d932f851b	e663b977-2af7-4b1d-bd33-352d932f851b_Q1	-	yes
e663b977-2af7-4b1d-bd33-352d932f851b	e663b977-2af7-4b1d-bd33-352d932f851b_Q2	-	Wendy
e663b977-2af7-4b1d-bd33-352d932f851b	e663b977-2af7-4b1d-bd33-352d932f851b_Q3	-	Wendy
375c34c9-3d98-4b2f-9076-404f34ad4e66	375c34c9-3d98-4b2f-9076-404f34ad4e66_Q0	-	Walter was worried because his dog was showing a lot of aggression.
375c34c9-3d98-4b2f-9076-404f34ad4e66	375c34c9-3d98-4b2f-9076-404f34ad4e66_Q1	-	his dog
375c34c9-3d98-4b2f-9076-404f34ad4e66	375c34c9-3d98-4b2f-9076-404f34ad4e66_Q2	-	his veterinarian
375c34c9-3d98-4b2f-9076-404f34ad4e66	375c34c9-3d98-4b2f-9076-404f34ad4e66_Q3	-	his dog
6ebc8d48-029b-4f00-89b3-773ce802825e	6ebc8d48-029b-4f00-89b3-773ce802825e_Q0	-	to the
6ebc8d48-029b-4f00-89b3-773ce802825e	6ebc8d48-029b-4f00-89b3-773ce802825e_Q1	-	to the
6ebc8d48-029b-4f00-89b3-773ce802825e	6ebc8d48-029b-4f00-89b3-773ce802825e_Q2	-	The couple
6ebc8d48-029b-4f00-89b3-773ce802825e	6ebc8d48-029b-4f00-89b3-773ce802825e_Q3	-	a lake house
5e76713f-92b2-4a5d-8f8d-510fde45705c	5e76713f-92b2-4a5d-8f8d-510fde45705c_Q0	-	to Universal
5e76713f-92b2-4a5d-8f8d-510fde45705c	5e76713f-92b2-4a5d-8f8d-510fde45705c_Q1	-	They were excited to go on all the rides.
5e76713f-92b2-4a5d-8f8d-510fde45705c	5e76713f-92b2-4a5d-8f8d-510fde45705c_Q2	-	a lot of the characters
5e76713f-92b2-4a5d-8f8d-510fde45705c	5e76713f-92b2-4a5d-8f8d-510fde45705c_Q3	-	three days
712702cc-f042-4ca5-84dc-ada756cc8959	712702cc-f042-4ca5-84dc-ada756cc8959_Q0	-	to a
712702cc-f042-4ca5-84dc-ada756cc8959	712702cc-f042-4ca5-84dc-ada756cc8959_Q1	-	fries
712702cc-f042-4ca5-84dc-ada756cc8959	712702cc-f042-4ca5-84dc-ada756cc8959_Q2	-	ketchup
712702cc-f042-4ca5-84dc-ada756cc8959	712702cc-f042-4ca5-84dc-ada756cc8959_Q3	-	yes
61550fe1-c17d-4b94-b225-941026bdb68e	61550fe1-c17d-4b94-b225-941026bdb68e_Q0	-	a new hobby
61550fe1-c17d-4b94-b225-941026bdb68e	61550fe1-c17d-4b94-b225-941026bdb68e_Q1	-	to the craft
61550fe1-c17d-4b94-b225-941026bdb68e	61550fe1-c17d-4b94-b225-941026bdb68e_Q2	-	some supplies
61550fe1-c17d-4b94-b225-941026bdb68e	61550fe1-c17d-4b94-b225-941026bdb68e_Q3	-	to the craft
mc500.train.0	mc500.train.0_Q0	-	She went to Miami to visit some friends.
mc500.train.0	mc500.train.0_Q1	-	a salad
mc500.train.0	mc500.train.0_Q2	-	Kristin
mc500.train.0	mc500.train.0_Q3	-	to the
mc500.train.0	mc500.train.0_Q4	-	her friends
mc500.train.0	mc500.train.0_Q5	-	They stayed the night because they were tired.
mc500.train.0	mc500.train.0_Q6	-	The girls
mc500.train.0	mc500.train.0_Q7	-	Alyssa
mc500.train.0	mc500.train.0_Q8	-	a restaurant for dinner
mc500.train.0	mc500.train.0_Q9	-	Ellen's house
mc500.train.0	mc500.train.0_Q10	-	for
mc500.train.0	mc500.train.0_Q11	-	at Ellen's
mc500.train.0	mc500.train.0_Q12	-	some lemonade
mc500.train.0	mc500.train.0_Q13	-	Ellen's house
mc500.train.0	mc500.train.0_Q14	-	yes
mc500.train.0	mc500.train.0_Q15	-	yes
mc500.train.0	mc500.train.0_Q16	-	a long trip
mc500.train.0	mc500.train.0_Q17	-	yes
mc500.train.0	mc500.train.0_Q18	-	a long trip
mc500.train.0	mc500.train.0_Q19	-	catfish
mc500.train.0	mc500.train.0_Q20	-	Charlotte
mc500.train.0	mc500.train.0_Q21	-	After eating, the ladies went back to Ellen's house to have fun.
mc500.train.0	mc500.train.0_Q22	-	at the
mc500.train.0	mc500.train.0_Q23	-	at the
mc500.train.18	mc500.train.18_Q0	-	one morning
mc500.train.18	mc500.train.18_Q1	-	a present
mc500.train.18	mc500.train.18_Q2	-	flowers
mc500.train.18	mc500.train.18_Q3	-	a lot of different sized flowers
mc500.train.18	mc500.train.18_Q4	-	the middle
mc500.train.18	mc500.train.18_Q5	-	in her
mc500.train.18	mc500.train.18_Q6	-	in a secret
mc500.train.18	mc500.train.18_Q7	-	Kelly woke up one morning and went outside to her back yard.
mc500.train.18	mc500.train.18_Q8	-	Finally, her mother woke up at 8:30 AM, and Kelly was excited!
mc500.train.18	mc500.train.18_Q9	-	The red ones
mc500.train.18	mc500.train.18_Q10	-	her mother
mc500.train.18	mc500.train.18_Q11	-	her mother
mc500.train.18	mc500.train.18_Q12	-	her mother
mc500.train.18	mc500.train.18_Q13	-	string
mc500.train.18	mc500.train.18_Q14	-	the biggest, most beautiful bunch
mc500.train.18	mc500.train.18_Q15	-	the flowers
mc500.train.18	mc500.train.18_Q16	-	Kelly was worried, so she hid them in a new spot that was up higher.
mc500.train.18	mc500.train.18_Q17	-	string
mc500.train.18	mc500.train.18_Q18	-	in her
mc500.train.18	mc500.train.18_Q19	-	Mother's Day
mc500.train.18	mc500.train.18_Q20	-	to her back
mc500.train.18	mc500.train.18_Q21	-	Mother's Day
mc500.train.23	mc500.train.23_Q0	-	Saturday
mc500.train.23	mc500.train.23_Q1	-	TV
mc500.train.23	mc500.train.23_Q2	-	in the
mc500.train.23	mc500.train.23_Q3	-	the window
mc500.train.23	mc500.train.23_Q4	-	On the
mc500.train.23	mc500.train.23_Q5	-	all day
mc500.train.23	mc500.train.23_Q6	-	the story
mc500.train.23	mc500.train.23_Q7	-	in
mc500.train.23	mc500.train.23_Q8	-	yes
mc500.train.23	mc500.train.23_Q9	-	your goldfish
mc500.train.23	mc500.train.23_Q10	-	The people and animals at the circus
mc500.train.23	mc500.train.23_Q11	-	lots of peanuts
mc500.train.23	mc500.train.23_Q12	-	to his
mc500.train.23	mc500.train.23_Q13	-	to his
mc500.train.23	mc500.train.23_Q14	-	in the
mc500.train.23	mc500.train.23_Q15	-	Andrew and his dad
mc500.train.23	mc500.train.23_Q16	-	The people
mc500.train.23	mc500.train.23_Q17	-	the newspaper
mc500.train.23	mc500.train.23_Q18	-	The people
mc500.train.23	mc500.train.23_Q19	-	Andrew and his dad
mc500.train.23	mc500.train.23_Q20	-	Andrew's dad
mc500.train.25	mc500.train.25_Q0	-	by the
mc500.train.25	mc500.train.25_Q1	-	in a beautiful pond by the
mc500.train.25	mc500.train.25_Q2	-	rocks
mc500.train.25	mc500.train.25_Q3	-	Martin
mc500.train.25	mc500.train.25_Q4	-	every day
mc500.train.25	mc500.train.25_Q5	-	a beautiful pond
mc500.train.25	mc500.train.25_Q6	-	in a beautiful pond by the
mc500.train.25	mc500.train.25_Q7	-	Maxine was a happy frog that lived in a beautiful pond by the river.
mc500.train.25	mc500.train.25_Q8	-	Maxine
mc500.train.25	mc500.train.25_Q9	-	Cindy
mc500.train.25	mc500.train.25_Q10	-	a happy frog
mc500.train.25	mc500.train.25_Q11	-	Maxine 's dad
mc500.train.25	mc500.train.25_Q12	-	Maxine 's dad
mc500.train.25	mc500.train.25_Q13	-	Cindy
mc500.train.25	mc500.train.25_Q14	-	every day
mc500.train.25	mc500.train.25_Q15	-	Maxine
mc500.train.25	mc500.train.25_Q16	-	a new friend
mc500.train.25	mc500.train.25_Q17	-	her friends
mc500.train.25	mc500.train.25_Q18	-	a bath
mc500.train.25	mc500.train.25_Q19	-	Maxine
mc500.train.25	mc500.train.25_Q20	-	Maxine
mc500.train.111	mc500.train.111_Q0	-	a good laugh
mc500.train.111	mc500.train.111_Q1	-	a very silly looking dog
